"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","cart page","7","0","","0"
"0","","0","home page","21","0","","0"
"3","","0","checkout page","2","0","","0"
